Country,Year,LifeExpectancy,GDPPerCapita,Population,Region
Philippines,2022,69.4723,8370.666,113964343,Asia
Poland,2022,77.9229,32468.402,38385734,Europe
Portugal,2022,81.1936,28992.059,10417074,Europe
Puerto Rico,2022,79.4269,35280.668,3240972,North America
Qatar,2022,81.8566,149171.11,2892466,Asia
Romania,2022,75.2614,26197.904,19166776,Europe
Russia,2022,72.5174,25437.107,145579889,Europe
Rwanda,2022,67.528,2198.0662,13651025,Africa
Saint Lucia,2022,72.6699,10452.165,178794,North America
Sao Tome and Principe,2022,69.2368,3751.6428,226313,Africa
Saudi Arabia,2022,77.3098,53516.91,32175351,Asia
Senegal,2022,67.7884,2660.6816,17651099,Africa
Serbia,2022,75.4778,17097.686,6791215,Europe
Seychelles,2022,71.2481,31055.39,125533,Africa
Sierra Leone,2022,61.2748,1690.4982,8276809,Africa
Singapore,2022,82.9211,80320.086,5649888,Asia
Slovakia,2022,77.0356,27519.287,5473195,Europe
Slovenia,2022,80.7933,32673.762,2115231,Europe
South Africa,2022,65.4536,11415.887,62378417,Africa
South Korea,2022,82.727,41320.9,51782515,Asia
Spain,2022,82.3661,34123.387,47828386,Europe
Sri Lanka,2022,77.2996,10705.481,22834965,Asia
Sweden,2022,83.046,47126.13,10487335,Europe
Switzerland,2022,83.2003,63323.254,8792180,Europe
Syria,2022,72.7898,2494.7612,22462170,Asia
Taiwan,2022,80.1569,53142.984,23420107,Asia
Tajikistan,2022,71.5624,5507.5454,10182228,Asia
Tanzania,2022,66.8786,3057.3286,64711822,Africa
Thailand,2022,75.2913,16421.072,71735321,Asia
Togo,2022,62.2898,1586.5889,9089742,Africa
Trinidad and Tobago,2022,73.3308,25773.006,1495923,North America
Tunisia,2022,76.0505,10913.846,12119338,Africa
Turkey,2022,77.5913,27361.988,87058469,Asia
Turkmenistan,2022,69.9133,17234.555,7230197,Asia
Uganda,2022,67.6747,2122.0278,47312718,Africa
Ukraine,2022,72.6582,7749.0996,41048768,Europe
United Arab Emirates,2022,80.4868,77203.67,10242085,Asia
United Kingdom,2022,81.0744,38406.53,68179315,Europe
United States,2022,77.9789,58487.465,341534041,North America
Uruguay,2022,76.4682,20181.94,3390913,South America
Uzbekistan,2022,72.1465,12559.401,34938953,Asia
Venezuela,2022,72.5656,5267.1753,28213015,South America
Vietnam,2022,74.5025,8050.359,99680656,Asia
Yemen,2022,67.9517,1959.3195,38222878,Asia
Zambia,2022,65.2791,3342.4214,20152935,Africa
Zimbabwe,2022,62.3601,1703.5294,16069061,Africa
